"1.find out two type of members max,min,avg ride length",,,,,,2.which type of member took max ride,,,,
,,,,,,,,,,
Row Labels,Max of ride_length,Min of ride_length,Average of ride_length,,,Row Labels,Count of ride_id,,,
casual,6:29:00,0:00:00,0:32:28,,,casual,46863,,,
April ,23:18:00,0:00:00,0:34:25,,,member,73133,,,
August ,1:00:00,0:00:00,0:28:51,,,(blank),,,,
December ,21:48:00,0:00:00,0:24:08,,,Grand Total,119996,,,
February ,8:24:00,0:00:00,0:39:23,,,,,,,
January ,0:52:00,0:00:00,0:24:46,,,3.how many type of bike have and the counf of ride id,,,,
July ,6:29:00,0:00:00,0:45:53,,,Row Labels,Count of ride_id,,,
June ,7:36:00,0:00:00,0:33:30,,,classic_bike,70314,,,
March ,2:33:00,0:00:00,0:35:02,,,docked_bike,5862,,,
May ,6:00:00,0:00:00,0:39:28,,,electric_bike,43820,,,
November ,5:34:00,0:00:00,0:26:22,,,(blank),,,,
October ,1:00:00,0:00:00,0:23:30,,,Grand Total,119996,,,
September ,1:00:00,0:00:00,0:25:51,,,,,,,
member,1:00:00,0:00:00,0:13:45,,,4.bike types used by riders,,,,
April ,16:44:00,0:00:00,0:14:47,,,Row Labels,Count of ride_id,,,
August ,1:00:00,0:00:00,0:14:12,,,casual,46863,,,
December ,1:00:00,0:00:00,0:10:54,,,classic_bike,22886,,,
February ,1:00:00,0:00:00,0:17:38,,,docked_bike,5862,,,
January ,1:00:00,0:00:00,0:12:50,,,electric_bike,18115,,,
July ,10:12:00,0:00:00,0:14:01,,,member,73133,,,
June ,0:49:00,0:00:00,0:15:24,,,classic_bike,47428,,,
March ,18:16:00,0:00:00,0:14:13,,,electric_bike,25705,,,
May ,14:12:00,0:00:00,0:14:31,,,(blank),,,,
November ,1:00:00,0:00:00,0:11:18,,,(blank),,,,
October ,1:00:00,0:00:00,0:12:25,,,Grand Total,119996,,,
September ,13:21:00,0:00:00,0:13:13,,,,,,,
(blank),0:00:00,0:00:00,#DIV/0!,,,,,,,
,0,0,#DIV/0!,,,,,,,
(blank),,,,,,,,,,
Grand Total,21.27013889,0,0.014626263,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5.#number of trips per month ,,,,,,"6.number of trips, amx,min,avg ride_length per day",,,,
,,,,,,,,,,
Row Labels,Count of ride_id,,,,,Row Labels,Count of ride_id,Max of ride_length,Average of ride_length,Min of ride_length
,,,,,,Sunday,17268,19.82708333,0.018865339,0
April ,10000,,,,,Monday,15154,7.704861111,0.014154679,0
August ,10000,,,,,Tuesday,16171,2.036111111,0.012339519,0
December ,10000,,,,,Wednesday,16614,2.10625,0.011268734,0
February ,10000,,,,,Thursday,15902,21.27013889,0.012550002,0
January ,10000,,,,,Friday,17586,18.85833333,0.014076183,0
July ,10000,,,,,Saturday,21301,11.25,0.017884202,0
June ,10000,,,,,,,,,
March ,10000,,,,,(blank),,0,#DIV/0!,0
May ,10000,,,,,Grand Total,119996,21.27013889,0.014626263,0
November ,9997,,,,,,,,,
October ,10000,,,,,,,,,
September ,9999,,,,,,,,,
(blank),,,,,,,,,,
Grand Total,119996,,,,,,,,,
,,,,,,,,,,
,,,,"7.number of trips, min,max ,avg ride_length by season ",,,,,,
,,,,,,,,,,
,,Row Labels,,Row Labels,Count of ride_length,Max of ride_length2,Average of ride_length2,Min of ride_length2,,
,,Spring,,Fall,29996,10.23194444,0.012067141,0,,
,,(blank),,Spring,30000,11.25,0.016521736,0,,
,,Grand Total,,Summer,30000,21.27013889,0.017919907,0,,
,,,,Winter,30000,6.908333333,0.011995926,0,,
,,,,(blank),928575,0,#DIV/0!,0,,
,,,,Grand Total,1048571,21.27013889,0.014626263,0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Analysis result: ,,,,,,,,,,
1. which type of member use maximum bike?      Ans:member type ,,,,,,,,,,
"2.how many types of bike have?   Ans: 3 type. 1.classic bike, 2.docked bike 3.electric bike",,,,,,,,,,
"3.Most popular bike and which type of member use this bike more?  Ans:Classic Bike, member type ",,,,,,,,,,
4. which type of bike do not use by member type?    Ans:Docked bike ,,,,,,,,,,
5. which type of bike use more by casual? Ans:classic bike ,,,,,,,,,,
6. which month people use less amount of bike?  Ans: November ,,,,,,,,,,
7. which day people use max and min bike?   Ans:max day:Saturday    min say: Monday ,,,,,,,,,,
8.which season have high and low demand ? ,, avg ride length? Ans: max:summer min: winter ,,,,,,,,
